DMA,NFL,NBA,MLB,NHL,NASCAR,CBB,CFB,PctTrumpVote
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0.29,0.21,0.22,0.04,0.07,0.11,0.06,0.71
Palm Springs CA,0.41,0.23,0.16,0.09,0.03,0.03,0.05,0.45
Panama City FL,0.32,0.19,0.10,0.04,0.07,0.04,0.23,0.73
Parkersburg WV,0.36,0.18,0.11,0.04,0.11,0.06,0.13,0.70
Peoria-Bloomington IL,0.33,0.21,0.26,0.07,0.05,0.04,0.04,0.53
Philadelphia PA,0.40,0.25,0.15,0.09,0.03,0.03,0.04,0.37
Phoenix AZ,0.44,0.23,0.15,0.06,0.03,0.04,0.06,0.50
Pittsburgh PA,0.33,0.13,0.19,0.20,0.04,0.05,0.06,0.52
Portland OR,0.33,0.33,0.16,0.05,0.03,0.03,0.08,0.37
Portland-Auburn ME,0.39,0.19,0.19,0.10,0.07,0.02,0.03,0.43
Presque Isle ME,0.31,0.26,0.18,0.11,0.09,0.03,0.02,0.56
Providence RI-New Bedford MA,0.41,0.24,0.18,0.10,0.03,0.03,0.03,0.40
Quincy IL-Hannibal MO-Keokuk IA,0.34,0.18,0.27,0.05,0.07,0.04,0.05,0.68
Raleigh-Durham (Fayetteville) NC,0.37,0.25,0.10,0.05,0.06,0.10,0.07,0.41
Rapid City SD,0.51,0.17,0.12,0.05,0.05,0.03,0.06,0.67
Reno NV,0.42,0.22,0.19,0.05,0.03,0.03,0.06,0.52
Richmond-Petersburg VA,0.43,0.24,0.11,0.04,0.06,0.05,0.06,0.44
Roanoke-Lynchburg VA,0.35,0.22,0.14,0.05,0.09,0.06,0.10,0.60
Rochester MN-Mason City IA-Austin MN,0.45,0.18,0.13,0.09,0.06,0.03,0.06,0.51
Rochester NY,0.44,0.18,0.16,0.11,0.04,0.03,0.03,0.44
Rockford IL,0.40,0.21,0.20,0.07,0.05,0.03,0.04,0.50
Sacramento-Stockton-Modesto CA,0.40,0.33,0.16,0.03,0.03,0.02,0.04,0.40
Salisbury MD,0.44,0.18,0.20,0.05,0.06,0.03,0.04,0.57
Salt Lake City UT,0.39,0.32,0.10,0.04,0.03,0.03,0.10,0.47
San Angelo TX,0.46,0.24,0.11,0.02,0.04,0.02,0.11,0.74
San Antonio TX,0.39,0.39,0.09,0.02,0.02,0.02,0.07,0.49
San Diego CA,0.43,0.26,0.16,0.05,0.02,0.03,0.05,0.37
San Francisco-Oakland-San Jose CA,0.34,0.36,0.17,0.05,0.02,0.02,0.04,0.19
Santa Barbara-Santa Maria-San Luis Obispo CA,0.38,0.30,0.17,0.05,0.02,0.03,0.05,0.36
Savannah GA,0.37,0.26,0.11,0.04,0.06,0.04,0.13,0.55
Seattle-Tacoma WA,0.47,0.21,0.13,0.04,0.02,0.03,0.10,0.32
Sherman TX-Ada OK,0.38,0.25,0.13,0.02,0.06,0.03,0.13,0.75
Shreveport LA,0.41,0.28,0.10,0.02,0.05,0.02,0.11,0.63
Sioux City IA,0.40,0.18,0.12,0.04,0.07,0.07,0.12,0.68
Sioux Falls(Mitchell) SD,0.48,0.19,0.12,0.05,0.06,0.04,0.06,0.61
South Bend-Elkhart IN,0.32,0.21,0.15,0.05,0.07,0.09,0.12,0.58
Spokane WA,0.45,0.16,0.10,0.04,0.04,0.13,0.07,0.56
Springfield MO,0.38,0.18,0.20,0.04,0.07,0.04,0.07,0.73
Springfield-Holyoke MA,0.39,0.24,0.18,0.10,0.03,0.03,0.03,0.35
St. Joseph MO,0.42,0.18,0.22,0.02,0.05,0.05,0.06,0.65
St. Louis MO,0.32,0.18,0.25,0.11,0.04,0.04,0.05,0.51
Syracuse NY,0.38,0.23,0.14,0.09,0.06,0.06,0.05,0.43
Tallahassee FL-Thomasville GA,0.32,0.25,0.09,0.03,0.05,0.04,0.23,0.49
Tampa-St. Petersburg (Sarasota) FL,0.37,0.21,0.17,0.09,0.04,0.03,0.09,0.52
Terre Haute IN,0.38,0.21,0.18,0.03,0.09,0.06,0.05,0.69
Toledo OH,0.35,0.21,0.14,0.06,0.07,0.05,0.13,0.51
Topeka KS,0.37,0.18,0.19,0.02,0.05,0.09,0.10,0.57
